,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,win_team_is_low_id,team_a,team_b,score_a,score_b,ID,result,team_a_seed,team_b_seed,team_a_seed_num,team_b_seed_num,team_a,score_mean_a,score_std_a,score_min_a,score_max_a,diff_mean_a,diff_std_a,diff_min_a,diff_max_a,is_home_mean_a,count_games_a,team_b,score_mean_b,score_std_b,score_min_b,score_max_b,diff_mean_b,diff_std_b,diff_min_b,diff_max_b,is_home_mean_b,count_games_b
0,1985,136,1116,63,1234,54,N,0,True,1116,1234,63,54,1985_1116_1234,1,X09,X08,9,8,1116,65.33333333333333,12.151817422372122,39,106,3.6363636363636362,11.661416567623181,-20,35,0.3333333333333333,33,1234,69.73333333333333,15.418156187751022,50,111,10.466666666666667,16.074682027923618,-20,49,0.6,30
1,1985,136,1120,59,1345,58,N,0,True,1120,1345,59,58,1985_1120_1345,1,Z11,Z06,11,6,1120,70.34482758620689,13.649374297718262,43,95,3.689655172413793,14.757814995732799,-19,42,0.41379310344827586,29,1345,69.12,10.365487607118792,43,85,3.8,16.140012391568973,-43,31,0.56,25
2,1985,136,1207,68,1250,43,N,0,True,1207,1250,68,43,1985_1207_1250,1,W01,W16,1,16,1207,75.74074074074075,11.944076718648814,52,93,15.666666666666666,10.845062683792317,-2,41,0.48148148148148145,27,1250,65.75862068965517,10.692638229888399,47,93,-4.448275862068965,12.069992918972217,-31,18,0.41379310344827586,29
3,1985,136,1229,58,1425,55,N,0,True,1229,1425,58,55,1985_1229_1425,1,Y09,Y08,9,8,1229,71.5925925925926,11.304387369033925,50,93,5.962962962962963,11.853209502011492,-13,31,0.5185185185185185,27,1425,68.39285714285714,11.324634850508625,45,95,3.7857142857142856,11.631238725334214,-21,33,0.5,28
4,1985,136,1242,49,1325,38,N,0,True,1242,1325,49,38,1985_1242_1325,1,Z03,Z14,3,14,1242,76.03333333333333,11.201857399351336,46,91,5.633333333333334,10.607360272660816,-19,27,0.4666666666666667,30,1325,67.55555555555556,9.528634309011537,50,94,4.555555555555555,9.324629641370104,-17,23,0.37037037037037035,27
5,1985,136,1246,66,1449,58,N,0,True,1246,1449,66,58,1985_1246_1449,1,X12,X05,12,5,1246,65.60714285714286,11.039790945800746,49,92,2.357142857142857,10.69861287552351,-16,25,0.5,28,1449,65.12903225806451,11.32178412172414,41,88,6.548387096774194,11.918721155329317,-13,26,0.41935483870967744,31
6,1985,136,1256,78,1338,54,N,0,True,1256,1338,78,54,1985_1256_1338,1,Y05,Y12,5,12,1256,77.5,10.225241100118645,59,100,12.678571428571429,11.001863718979857,-12,33,0.4642857142857143,28,1338,70.23076923076923,12.310345867790042,46,104,2.576923076923077,14.549702613931537,-31,23,0.5769230769230769,26
7,1985,136,1260,59,1233,58,N,0,False,1233,1260,58,59,1985_1233_1260,0,W13,W04,13,4,1233,74.44827586206897,15.256348109409014,47,110,7.344827586206897,10.634431484800967,-17,34,0.4482758620689655,29,1260,85.83333333333333,15.695559076141368,52,127,6.766666666666667,10.902968065791908,-33,27,0.43333333333333335,30
8,1985,136,1314,76,1292,57,N,0,False,1292,1314,57,76,1985_1292_1314,0,Z15,Z02,15,2,1292,67.23076923076923,10.183546306892081,45,84,0.11538461538461539,9.162213370477346,-16,20,0.5,26,1314,74.74193548387096,10.181577290824462,50,89,7.645161290322581,10.58473236032848,-16,34,0.2903225806451613,31
9,1985,136,1323,79,1333,70,N,0,True,1323,1333,79,70,1985_1323_1333,1,Z07,Z10,7,10,1323,69.85714285714286,10.80368347923877,48,96,7.571428571428571,13.276067499601236,-12,40,0.5714285714285714,28,1333,61.89655172413793,11.168657764304433,36,83,4.655172413793103,10.583936150293875,-17,22,0.4482758620689655,29
10,1985,136,1326,75,1235,64,N,0,False,1235,1326,64,75,1985_1235_1326,0,Y13,Y04,13,4,1235,71.93103448275862,11.442187086400791,53,114,3.7586206896551726,15.988065129995725,-28,47,0.4482758620689655,29,1326,77.78571428571429,8.845828239835837,58,99,4.678571428571429,10.60766170145366,-18,24,0.5,28
11,1985,136,1328,96,1299,83,N,0,False,1299,1328,83,96,1985_1299_1328,0,Y16,Y01,16,1,1299,70.95833333333333,15.112560760957196,43,110,3.5,19.558162979442493,-47,41,0.375,24,1328,89.83333333333333,14.355302596729834,64,121,13.3,16.431991505218907,-17,47,0.4666666666666667,30
12,1985,136,1374,85,1330,68,N,0,False,1330,1374,68,85,1985_1330_1374,0,W12,W05,12,5,1330,73.3103448275862,10.289049130979228,55,91,1.9655172413793103,12.21966435890671,-26,26,0.41379310344827586,29,1374,75.96666666666667,13.213063894164153,54,97,8.666666666666666,12.898364861173453,-13,45,0.5333333333333333,30
13,1985,136,1385,83,1380,59,N,0,False,1380,1385,59,83,1985_1380_1385,0,X16,X01,16,1,1380,84.78571428571429,12.804389128434869,57,112,7.107142857142857,13.04504811885646,-17,33,0.42857142857142855,28,1385,76.13333333333334,12.243881887627014,47,97,11.733333333333333,13.281912339806299,-16,46,0.43333333333333335,30
14,1985,136,1396,60,1439,57,N,0,True,1396,1439,60,57,1985_1396_1439,1,W08,W09,8,9,1396,65.62068965517241,8.925940499079262,50,88,7.9655172413793105,9.294709549833364,-11,32,0.27586206896551724,29,1439,81.14814814814815,16.35120250507049,47,109,11.962962962962964,17.330456697523275,-11,45,0.48148148148148145,27
15,1985,136,1424,85,1361,80,N,0,False,1361,1424,80,85,1985_1361_1424,0,X13,X04,13,4,1361,80.76666666666667,15.190022436099145,57,128,8.6,14.116754535681697,-16,60,0.5333333333333333,30,1424,82.66666666666667,16.993575527104422,46,142,10.1,12.82602419114061,-36,31,0.5,30
16,1985,137,1104,50,1112,41,N,0,True,1104,1112,50,41,1985_1104_1112,1,X07,X10,7,10,1104,68.5,13.860760789190916,42,100,7.8,10.905234428064098,-12,25,0.5333333333333333,30,1112,66.51851851851852,11.18505311142568,40,85,7.185185185185185,10.947556935179778,-9,35,0.5185185185185185,27
17,1985,137,1130,55,1403,53,N,0,True,1130,1403,55,53,1985_1130_1403,1,Y11,Y06,11,6,1130,74.88461538461539,13.008695316831501,55,101,5.269230769230769,12.025165919213563,-19,27,0.2692307692307692,26,1403,69.10344827586206,13.449229472316054,47,97,6.172413793103448,9.673487203682184,-10,27,0.4827586206896552,29
